Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
09/10/2014,05:19:24,-0.2002,125.0922,Earthquake,40.82,4.6,,5.6,MB,0.052,132.0,26.0,2.466,6.5,1.06,USB000SAYV,US,US,US,Reviewed
09/18/2014,04:17:53,50.5415,150.1349,Earthquake,500.0,4.6,,5.5,MWB,0.059,28.0,32.0,5.348,8.1,0.32,USB000SDTR,US,US,US,Reviewed
09/20/2014,18:27:14,-0.7667,134.3003,Earthquake,11.84,3.1,,5.5,MB,0.047,164.0,16.0,2.962,7.0,0.87,USB000SEIY,US,US,US,Reviewed
09/30/2014,16:45:56,1.6025,67.7354,Earthquake,10.0,1.7,,5.5,MWB,0.032,92.0,21.0,10.115,8.6,0.75,USB000SHED,US,US,US,Reviewed
09/30/2014,22:34:27,-17.8303,-178.5952,Earthquake,572.19,4.8,,5.5,MWB,0.052,35.0,18.0,3.194,9.5,0.66,USB000SHIF,US,US,US,Reviewed
10/03/2014,08:05:44,11.3267,122.1187,Earthquake,19.45,3.1,,5.5,MWB,0.075,17.0,39.0,2.99,6.8,0.64,USB000SIF9,US,US,US,Reviewed
10/14/2014,04:12:27,-34.8164,179.864,Earthquake,14.21,3.3,,5.7,MB,0.041,229.0,52.0,3.015,9.2,0.51,USB000SLWZ,US,US,US,Reviewed
10/20/2014,07:58:52,-61.9473,161.3242,Earthquake,10.0,1.7,,5.7,MWB,0.065,23.0,37.0,7.574,9.4,1.18,USB000SP4A,US,US,US,Reviewed
10/20/2014,19:33:22,0.6623,-77.8895,Earthquake,10.0,1.7,,5.6,MWB,0.054,33.0,27.0,0.702,5.5,0.95,USB000SP80,US,US,US,Reviewed
10/21/2014,23:01:18,-63.4595,169.6619,Earthquake,10.0,1.7,,5.6,MWB,0.062,25.0,21.0,14.342,10.8,0.98,USB000SPMS,US,US,US,Reviewed
11/12/2014,11:16:47,1.1343,-85.3828,Earthquake,10.0,1.9,,5.5,MWB,0.054,33.0,86.0,5.221,7.5,0.73,USC000SWJ4,US,US,US,Reviewed
11/13/2014,12:21:06,-18.4981,169.1149,Earthquake,211.0,1.8,,5.5,MWB,0.093,11.0,24.0,3.542,3.4,0.89,USC000SWX1,US,US,US,Reviewed
11/15/2014,02:35:00,1.6728,126.2983,Earthquake,44.94,7.5,,5.9,MB,0.122,33.0,59.0,1.393,9.8,1.18,USB000T0PJ,US,US,US,Reviewed
11/20/2014,18:14:38,23.5081,93.5148,Earthquake,49.0,1.8,,5.6,MWB,0.049,40.0,10.0,2.546,7.3,0.78,USB000SYBR,US,US,US,Reviewed
11/25/2014,15:19:08,30.1884,101.7618,Earthquake,9.0,1.8,,5.6,MWB,0.054,33.0,19.0,5.119,5.5,0.61,USB000SZW2,US,US,US,Reviewed
11/26/2014,14:49:50,1.8122,126.4582,Earthquake,30.39,3.2,,5.6,MB,0.038,248.0,20.0,1.375,6.8,0.78,USB000T098,US,US,US,Reviewed
12/03/2014,00:27:04,-2.9324,122.423,Earthquake,10.0,1.7,,5.5,MWB,0.052,36.0,25.0,1.91,4.8,1.2,USB000T2CN,US,US,US,Reviewed
12/08/2014,09:52:04,50.3161,158.0836,Earthquake,47.13,1.7,,5.6,MB,0.026,548.0,54.0,2.734,8.0,0.83,USC000T4IX,US,US,US,Reviewed
12/11/2014,13:53:29,-56.7511,-25.4248,Earthquake,10.0,1.8,,5.5,MWB,0.06,27.0,43.0,6.751,10.1,0.95,USC000T5JN,US,US,US,Reviewed
12/24/2014,01:19:39,-56.3004,147.2567,Earthquake,10.0,1.7,,5.5,MWB,0.058,29.0,49.0,6.904,10.1,1.05,USC000T9L4,US,US,US,Reviewed
12/24/2014,01:58:02,-56.3945,147.336,Earthquake,4.0,1.6,,5.9,MWB,0.054,33.0,43.0,6.878,9.6,0.93,USC000T9LM,US,US,US,Reviewed
12/27/2014,18:53:47,-17.9261,-179.49,Earthquake,621.76,4.1,,5.5,MWB,0.069,20.0,27.0,2.347,6.1,0.74,USC000TAA1,US,US,US,Reviewed
12/31/2014,09:26:22,13.7483,120.6673,Earthquake,110.0,1.9,,5.5,MWB,0.05,39.0,30.0,8.78,8.3,0.96,USC000TAXU,US,US,US,Reviewed
01/06/2015,22:09:13,55.2049,163.2446,Earthquake,10.0,1.8,,5.6,MWB,0.035,78.0,73.0,3.476,7.5,0.63,USC000TC8Q,US,US,US,Reviewed
01/08/2015,14:56:31,-61.6118,161.3346,Earthquake,10.0,1.7,,5.7,MWB,0.071,19.0,37.0,7.244,11.4,0.77,USC000TD4A,US,US,US,Reviewed
01/29/2015,03:49:35,-19.2852,-174.171,Earthquake,39.77,4.0,,5.6,MWB,0.046,46.0,22.0,4.016,8.0,0.7,USC000TJZJ,US,US,US,Reviewed
02/01/2015,11:41:46,-12.3801,166.7543,Earthquake,176.66,4.0,,5.5,MWB,0.089,12.0,28.0,3.079,9.2,0.57,USC000TKQD,US,US,US,Reviewed
02/04/2015,08:20:44,-25.7381,-175.8779,Earthquake,19.0,1.8,,5.5,MWB,0.035,80.0,52.0,3.939,8.6,1.25,USC000TLGC,US,US,US,Reviewed
02/08/2015,15:09:09,-2.4318,119.3699,Earthquake,37.28,5.2,,5.6,MWB,0.063,24.0,34.0,2.593,6.3,0.67,USC000TN7F,US,US,US,Reviewed
02/11/2015,21:29:25,-65.5984,-179.601,Earthquake,10.0,1.8,,5.8,MWB,0.127,6.0,78.0,12.967,11.9,0.74,USB000TNDE,US,US,US,Reviewed
02/12/2015,15:51:00,19.3552,-105.7405,Earthquake,41.67,4.7,,5.5,MWB,0.075,17.0,92.0,1.356,6.8,1.12,USB000TNLK,US,US,US,Reviewed
02/17/2015,04:46:39,40.1095,141.8914,Earthquake,47.0,1.9,,5.5,MWB,0.059,28.0,40.0,1.149,5.5,0.43,USB000TPY8,US,US,US,Reviewed
02/18/2015,00:48:29,8.3227,-103.159,Earthquake,5.0,1.8,,5.5,MWB,0.056,31.0,80.0,11.411,11.2,1.29,USB000TQ6V,US,US,US,Reviewed
